iter	AUC	Logloss
513	0.795109199	0.2343253921
514	0.7951811718	0.2342935489
515	0.7952085135	0.2342760992
516	0.7952266734	0.2342631231
517	0.7952807347	0.2342369852
518	0.7952945238	0.2342253289
519	0.7953389325	0.2342018371
520	0.7953701545	0.2341819044
521	0.7954102129	0.2341624958
522	0.7954528447	0.2341412034
523	0.7954900042	0.2341213049
524	0.7955528513	0.2340902352
525	0.7955972534	0.234068016
526	0.7956547386	0.2340433889
527	0.7956911379	0.2340249831
528	0.7957302715	0.234003782
529	0.7957613986	0.2339862399
530	0.7958059448	0.2339630883
531	0.7958359424	0.233946865
532	0.7958838006	0.2339253129
533	0.79593317	0.2338982087
534	0.7959767836	0.2338759464
535	0.7960157754	0.233852558
536	0.7960288441	0.2338391442
537	0.796110317	0.2338094449
538	0.7961547082	0.2337897133
539	0.7961948837	0.2337690951
540	0.7962228334	0.2337561913
541	0.7962551891	0.233734773
542	0.7963108124	0.2337109221
543	0.7963353815	0.2336959724
544	0.7963784506	0.2336752412
545	0.796427579	0.2336533335
546	0.7964643786	0.2336331355
547	0.7964837238	0.2336172275
548	0.7965609187	0.2335860717
549	0.7965964692	0.2335642475
550	0.796640772	0.2335434714
551	0.7966728788	0.2335237306
552	0.796722816	0.2334978586
553	0.7967459928	0.233483023
554	0.796780184	0.2334685835
555	0.7968261318	0.2334469248
556	0.796855959	0.2334309518
557	0.7968863086	0.2334123482
558	0.796920155	0.2333948453
559	0.7969446244	0.2333813529
560	0.7969695594	0.2333674041
561	0.7970130046	0.2333439105
562	0.7970586959	0.2333214258
563	0.7971002912	0.2333018503
564	0.7971356107	0.233286987
565	0.7971693943	0.2332718055
566	0.7972049618	0.2332535643
567	0.7972292222	0.2332376405
568	0.7972462691	0.2332301342
569	0.7972876489	0.2332126236
570	0.7973197119	0.2331961553
571	0.7973545146	0.2331790541
572	0.7973965049	0.233158859
573	0.7974502416	0.233139702
574	0.7974866066	0.2331225254
575	0.7975048091	0.2331110297
576	0.7975359531	0.233096022
577	0.7975611889	0.2330835826
578	0.7975935621	0.2330638535
